nb coeurs	tps execution	taille vecteur	moy
1	3	1000000	3
1	3	1000000	
1	3	1000000	
1	3	1000000	
2	6	1000000	3
2	2	1000000	
2	2	1000000	
2	2	1000000	
4	2	1000000	8.5
4	12	1000000	
4	10	1000000	
4	10	1000000	
1	27	10000000	27
1	27	10000000	
1	27	10000000	
1	27	10000000	
2	31	10000000	29
2	27	10000000	
2	27	10000000	
2	31	10000000	
4	61	10000000	61.5
4	60	10000000	
4	63	10000000	
4	62	10000000	
1	269	100000000	268.25
1	268	100000000	
1	268	100000000	
1	268	100000000	
2	289	100000000	297.25
2	303	100000000	
2	296	100000000	
2	301	100000000	
4	582	100000000	581.5
4	577	100000000	
4	585	100000000	
4	582	100000000	

