nb coeurs	tps execution	taille vecteur
1	3	1000000
1	3	1000000
1	3	1000000
1	2	1000000
2	1	1000000
2	4	1000000
2	4	1000000
2	1	1000000
4	6	1000000
4	1	1000000
4	1	1000000
4	1	1000000
1	26	10000000
1	25	10000000
1	26	10000000
1	25	10000000
2	25	10000000
2	29	10000000
2	25	10000000
2	24	10000000
4	31	10000000
4	21	10000000
4	31	10000000
4	18	10000000
1	253	100000000
1	253	100000000
1	253	100000000
1	253	100000000
2	261	100000000
2	256	100000000
2	257	100000000
2	258	100000000
4	275	100000000
4	278	100000000
4	278	100000000
4	277	100000000
